customer_id,order_date,order_time,sku,item_id,item_quantity,item_price,item_discount_raw,item_discount_percentage,item_disc_bins_item_disc_null,item_disc_bins_item_disc_sub_twenty,item_disc_bins_item_disc_sub_forty,item_disc_bins_item_disc_sub_sixty,item_disc_bins_item_disc_sub_eighty,item_disc_bins_item_disc_sub_hundred
4471,2022-08-09,11:57:05,BBW-WINE-406,Bodegas Muga Rioja Blanco 2019,1,49.0,3.92,8.0,False,True,False,False,False,False
4471,2022-08-09,11:57:05,,Gonzo Vino Club Flog 2021,1,185.0,0.0,0.0,True,False,False,False,False,False
4472,2022-07-30,16:16:43,BBW-WINE-747,Casa Rojo Alexander VS The Ham Factory 2018,1,112.0,0.0,0.0,True,False,False,False,False,False
4472,2022-07-30,16:16:43,,Hugo Mendes Lisboa Castelão 2021,1,75.0,0.0,0.0,True,False,False,False,False,False
4472,2022-07-30,16:16:43,,DeLoach Vineyards Russian River Valley Zinfandel 2018,1,64.0,0.0,0.0,True,False,False,False,False,False
4472,2022-07-30,16:16:43,,Pheasant’s Tears Gorulu Mtsvane 2019,1,62.0,0.0,0.0,True,False,False,False,False,False
4472,2022-07-30,16:16:43,,The Prisoner Napa Cabernet Sauvignon 2019,1,118.0,0.0,0.0,True,False,False,False,False,False
4472,2022-07-30,16:16:43,,GT Spain,1,67.0,0.0,0.0,True,False,False,False,False,False
4473,2022-07-16,16:28:27,,Stolpman Vineyards La Cuadrilla 2019,1,64.0,6.4,10.0,False,True,False,False,False,False
4473,2022-07-16,16:28:27,,Stolpman Vineyards Para Maria Syrah-Petit Verdot 2019,1,67.0,0.0,0.0,True,False,False,False,False,False
4473,2022-07-16,16:28:27,,Bertani Pinot Grigio DOC 2020,1,42.0,0.0,0.0,True,False,False,False,False,False
4473,2022-07-16,16:28:27,BBW-WINE-122,Bodegas Volver Quinta del 67' 2019 - Single Bottle,1,42.0,4.2,10.0,False,True,False,False,False,False
4473,2022-07-16,16:28:27,,Broc Cellars The Badger Nero d'Avola 2019 - Single bottle,1,89.0,8.9,10.0,False,True,False,False,False,False
4473,2022-07-16,16:28:27,BBW-WINE-761,Donnafugata Floramundi Cerasuolo di Vittoria 2017,1,62.0,0.0,0.0,True,False,False,False,False,False
4473,2022-07-16,16:28:27,,Gonzo Vino Club Flog 2021,1,185.0,0.0,0.0,True,False,False,False,False,False
4473,2022-07-16,16:28:27,,Express Winemakers L'Orange 2021,1,60.0,0.0,0.0,True,False,False,False,False,False
4473,2022-07-16,16:28:27,BBW-WINE-309,Krontiras Malbec Natural 2021,1,49.0,4.9,10.0,False,True,False,False,False,False
4473,2022-07-16,16:28:27,,Japan,1,74.0,0.0,0.0,True,False,False,False,False,False
4474,2022-07-09,13:04:26,,Gonzo Vino Club Flog 2021,1,185.0,0.0,0.0,True,False,False,False,False,False
4475,2022-12-09,13:40:28,,Stolpman Love You Bunches 2020,3,65.0,0.0,0.0,True,False,False,False,False,False
4476,2022-02-18,23:42:00,,Kanonkop Estate Pinotage 2018,2,79.0,0.0,0.0,True,False,False,False,False,False
4477,2022-12-19,16:46:35,BBW-WINE-173,Torbreck Old Vines Grenache Shiraz Mourvèdre 2018,3,51.0,0.0,0.0,True,False,False,False,False,False
4478,2022-01-22,04:27:12,,"Faiveley Bourgogne Pinot Noir - 750 ML, 2019",6,45.0,0.0,0.0,True,False,False,False,False,False
4479,2022-07-19,08:18:23,,KEENWAYBREAD X BOUNDBYWINE - BURAGHERITA PIZZA,1,23.0,0.0,0.0,True,False,False,False,False,False
4479,2022-07-19,08:18:23,,KEENWAYBREAD X BOUNDBYWINE - BOUNDBYWINE SPECIAL 'GERLIOT',1,25.0,0.0,0.0,True,False,False,False,False,False
4480,2022-01-22,05:16:57,,Meyer-Näkel Spätburgunder Trocken 2018,1,78.0,0.0,0.0,True,False,False,False,False,False
4480,2022-01-22,05:16:57,,Bodegas Muga Rioja Reserva 2017,1,67.0,0.0,0.0,True,False,False,False,False,False
4481,2023-01-21,13:34:13,,San Marzano Rari Nero d’Avola DOP 2020,1,60.0,0.0,0.0,True,False,False,False,False,False
4482,2023-02-24,23:23:30,,Radikon Jakot 2017,1,95.0,0.0,0.0,True,False,False,False,False,False
4482,2023-02-24,23:23:30,,Partida Creus GT 2019,1,70.0,0.0,0.0,True,False,False,False,False,False
4483,2023-01-21,13:18:57,BBW-WINE-918,"Sartori Bianco Veronese ""Marani"" IGT 2020",1,50.0,0.0,0.0,True,False,False,False,False,False
4484,2023-04-19,14:31:19,,Alexandre Giquel Mecanique des Fluides 2019,2,72.0,0.0,0.0,True,False,False,False,False,False
