customer_id,order_date,order_time,item_id,item_quantity,item_price,item_discount_raw,item_discount_percentage,item_disc_bins_item_disc_null,item_disc_bins_item_disc_sub_twenty,item_disc_bins_item_disc_sub_forty,item_disc_bins_item_disc_sub_sixty,item_disc_bins_item_disc_sub_eighty,item_disc_bins_item_disc_sub_hundred
3242,2022-03-26,20:36:42,Giusti Amarone Della Valpolicella Classico DOCG 2016,1,148.0,0.0,0.0,1,0,0,0,0,0
3243,2022-03-26,19:47:59,Chase Pink Grapefruit & Pomelo Gin,1,97.0,0.0,0.0,1,0,0,0,0,0
3244,2022-03-26,10:39:22,Château Pajzos Tokaji Aszu 6 Puttonyos 2016,1,82.0,0.0,0.0,1,0,0,0,0,0
3245,2022-03-24,22:40:31,Anatolikos Malagousia Wild White 2020,2,52.0,0.0,0.0,1,0,0,0,0,0
3246,2022-03-24,10:36:40,Château Pajzos Tokaji Aszu 6 Puttonyos 2016,1,82.0,0.0,0.0,1,0,0,0,0,0
3247,2022-03-23,23:29:05,Domaine Louis Michel & Fils Chablis 2018,1,72.0,0.0,0.0,1,0,0,0,0,0
3248,2022-03-23,14:36:00,Movia Rebula 2019,1,58.0,0.0,0.0,1,0,0,0,0,0
3249,2022-03-21,13:12:56,Coto de Imaz Gran Reserva 2015,1,59.0,0.0,0.0,1,0,0,0,0,0
3250,2022-03-21,09:19:51,Robert Mondavi Private Selection Bourbon Barrel-Aged Cabernet Sauvignon 2019,2,52.0,0.0,0.0,1,0,0,0,0,0
3251,2022-03-20,19:24:50,AMASS Botanic Vodka,1,89.0,0.0,0.0,1,0,0,0,0,0
3252,2022-03-19,22:09:49,W. & J. Graham's 10 Year Old Tawny NV,1,88.0,0.0,0.0,1,0,0,0,0,0
3253,2022-03-19,00:31:13,Catena Zapata Chardonnay 2017,1,53.0,0.0,0.0,1,0,0,0,0,0
3253,2022-03-19,00:31:13,Spier Creative Block 2 2020,1,45.0,0.0,0.0,1,0,0,0,0,0
3254,2022-03-18,21:00:52,Bodega Chacra Barda Pinot Noir 2020,1,78.0,0.0,0.0,1,0,0,0,0,0
3254,2022-03-18,21:00:52,Amarcord AMA Belgian Ale - Golden Belgian Ale,1,14.0,0.0,0.0,1,0,0,0,0,0
3255,2022-03-17,15:11:30,Mastrojanni Rosso di Montalcino 2018,2,77.0,0.0,0.0,1,0,0,0,0,0
3256,2022-03-16,01:49:24,AMASS Botanic Vodka,3,89.0,0.0,0.0,1,0,0,0,0,0
3257,2022-03-15,09:17:00,Château Pajzos Tokaji Aszu 6 Puttonyos 2016,1,82.0,0.0,0.0,1,0,0,0,0,0
3258,2022-03-14,12:56:17,Bodega Chacra Barda Pinot Noir 2020,1,78.0,0.0,0.0,1,0,0,0,0,0
3258,2022-03-14,12:56:17,Amarcord AMA Belgian Ale - Golden Belgian Ale,1,14.0,0.0,0.0,1,0,0,0,0,0
3259,2022-03-12,18:53:16,Jim Barry Assyrtiko 2019,2,68.9,0.0,0.0,1,0,0,0,0,0
3260,2022-03-12,18:50:58,Freixenet Pinot Grigio Garda DOC 2019,1,36.0,0.0,0.0,1,0,0,0,0,0
3261,2022-03-11,22:52:26,WINESAVE PRO,1,49.9,0.0,0.0,1,0,0,0,0,0
